0 1 2 3 4 5 6 7 8 9 
0 1 2 3 4 5 6 7 9 8 
0 1 2 3 4 5 6 8 9 7 
0 1 2 3 4 5 7 6 9 8 
0 1 2 3 4 5 7 8 9 6 
0 1 2 3 4 6 5 8 9 7 
0 1 2 3 4 6 7 8 9 5 
0 1 2 3 5 4 7 6 9 8 
0 1 2 3 5 4 7 8 9 6 
0 1 2 3 5 6 4 8 9 7 
0 1 2 3 5 6 7 8 9 4 
0 1 2 4 3 6 5 8 9 7 
0 1 2 4 3 6 7 8 9 5 
0 1 2 4 5 3 7 8 9 6 
0 1 2 4 5 6 7 8 9 3 
0 1 3 2 5 4 7 6 9 8 
0 1 3 2 5 4 7 8 9 6 
0 1 3 2 5 6 4 8 9 7 
0 1 3 2 5 6 7 8 9 4 
0 1 3 4 2 6 7 8 9 5 
0 1 3 4 5 2 7 8 9 6 
0 1 3 4 5 6 7 8 9 2 
0 2 1 4 3 6 5 8 9 7 
0 2 1 4 3 6 7 8 9 5 
0 2 1 4 5 3 7 8 9 6 
0 2 1 4 5 6 7 8 9 3 
0 2 3 1 5 6 4 8 9 7 
0 2 3 1 5 6 7 8 9 4 
0 2 3 4 1 6 7 8 9 5 
0 2 3 4 5 6 7 8 9 1 
1 0 3 2 5 4 7 6 9 8 
1 0 3 2 5 4 7 8 9 6 
1 0 3 2 5 6 4 8 9 7 
1 0 3 2 5 6 7 8 9 4 
1 0 3 4 2 6 7 8 9 5 
1 0 3 4 5 2 7 8 9 6 
1 0 3 4 5 6 7 8 9 2 
1 2 0 4 5 3 7 8 9 6 
1 2 0 4 5 6 7 8 9 3 
1 2 3 0 5 6 7 8 9 4 
1 2 3 4 0 6 7 8 9 5 
1 2 3 4 5 6 7 8 9 0 
